Team Name,Year,Wins,Losses,Home Wins,Home Losses,Road Wins,Road Losses,Margin <= 3 Victories,Margin <= Losses,Margin >= 10 Victories,Margin >= Losses,PPG,Off Rating,Def Rating,Pace,FG%,FG3%,FT%,Off RBG,Def RBG,Assists / Game,Steals / Game,Blocks / Game,Turnovers / Game,Fouls / Game,Reached Finals,Finals Win
Chicago Bulls,1996,72,10,39,2,33,8,5,3,46,2,105.2,115.2,101.8,91.1,0.478,0.403,0.746,15.2,29.4,24.8,9.1,4.2,14.3,22,1,1
Golden State Warriors,2017,67,15,36,5,31,10,3,4,48,6,115.9,115.6,104,99.8,0.495,0.383,0.788,9.4,35,30.4,9.6,6.8,14.8,19.3,1,1
Chicago Bulls,1992,67,15,36,5,31,10,7,8,44,4,109.9,115.5,104.5,94.4,0.508,0.304,0.744,14.3,29.7,27.8,8.2,5.9,13.3,20.6,1,1
Los Angeles Lakers,2000,67,15,36,5,31,10,8,1,34,7,100.8,107.3,98.2,93.3,0.459,0.329,0.696,13.6,33.4,23.4,7.5,6.5,13.9,22.5,1,1
Boston Celtics,2008,66,16,35,6,31,10,7,6,45,3,100.5,110.2,98.9,90.9,0.475,0.381,0.771,10.1,31.9,22.4,8.5,4.6,15.2,22.7,1,1
Chicago Bulls,1997,69,13,39,2,30,11,9,4,45,4,103.1,114.4,102.4,90,0.473,0.373,0.747,15.1,30,26.1,8.7,4,13.5,19.7,1,1
Philadelphia 76ers,1983,65,17,35,6,30,11,7,4,39,6,112.1,108.3,100.9,102.7,0.499,0.229,0.742,16.3,31.7,24.6,9.9,7,19.8,24.9,1,1
San Antonio Spurs,2014,62,20,32,9,30,11,7,0,35,12,105.4,110.5,102.4,95,0.486,0.397,0.785,9.3,34,25.2,7.4,5.1,14.4,18.2,1,1
Miami Heat,2013,66,16,37,4,29,12,9,3,39,8,102.9,112.3,103.7,90.7,0.496,0.396,0.754,8.2,30.4,23,8.7,5.4,13.9,18.7,1,1
Los Angeles Lakers,2009,65,17,36,5,29,12,7,5,35,7,106.9,112.8,104.7,94.3,0.474,0.361,0.77,12.4,31.5,23.3,8.8,5.1,13.5,20.7,1,1
Boston Celtics,1984,62,20,33,8,29,12,9,4,31,4,112.1,110.9,104.4,99.7,0.5,0.24,0.792,14.1,31,25.9,8.2,5.2,17.3,23.8,1,1
Golden State Warriors,2018,58,24,29,12,29,12,5,1,38,13,113.5,113.6,107.6,99.6,0.503,0.391,0.815,8.4,35.1,29.3,8,7.5,15.5,19.6,1,1
Golden State Warriors,2015,67,15,39,2,28,13,5,3,45,9,110,111.6,101.4,98.3,0.478,0.398,0.768,10.4,34.3,27.4,9.3,6,14.5,19.9,1,1
Los Angeles Lakers,1987,65,17,37,4,28,13,6,1,40,10,117.8,115.6,106.5,101.6,0.516,0.367,0.789,13.7,30.7,29.6,8.9,5.9,16.6,22.6,1,1
Dallas Mavericks,2011,57,25,29,12,28,13,10,6,22,8,100.2,109.7,105,91.3,0.475,0.365,0.777,9.5,31.9,23.8,6.8,4.3,14,19.2,1,1
Boston Celtics,1986,67,15,40,1,27,14,5,5,40,3,114.1,111.8,102.6,101.2,0.508,0.351,0.794,12.9,33.6,29.1,7.8,6.2,16.6,21.4,1,1
Boston Celtics,1981,62,20,35,6,27,14,11,6,29,9,109.9,108.4,102.6,100.8,0.504,0.27,0.752,14.1,29.6,26.9,8.3,7.2,19.2,24.3,1,1
San Antonio Spurs,2003,60,22,33,8,27,14,12,5,26,6,95.8,105.6,99.7,90,0.462,0.354,0.725,11.5,31.2,20,7.7,6.5,15.8,20.4,1,1
San Antonio Spurs,2007,58,24,31,10,27,14,3,5,35,7,98.5,109.2,99.9,89.8,0.474,0.381,0.751,9.3,31.4,22.1,7.2,5.1,13.9,19.4,1,1
Los Angeles Lakers,1982,57,25,30,11,27,14,13,7,27,6,114.6,110.2,105.5,103.1,0.517,0.138,0.717,15.3,30.5,28.7,10.3,6.3,17.9,24.4,1,1
Detroit Pistons,1989,63,19,37,4,26,15,6,4,33,10,106.6,110.8,104.7,95.5,0.494,0.3,0.769,14.1,31,24.7,6.4,5,16.3,23.6,1,1
Los Angeles Lakers,1985,62,20,36,5,26,15,5,9,31,9,118.2,114.1,107,103.2,0.545,0.305,0.763,13,31.1,31.4,8.5,5.9,18.7,23.5,1,1
Los Angeles Lakers,1988,62,20,36,5,26,15,9,6,29,9,112.8,113.1,107.3,99.1,0.505,0.297,0.789,13.1,30.4,28.6,8.2,4.9,16.1,20.9,1,1
Chicago Bulls,1991,61,21,35,6,26,15,5,6,43,8,110,114.6,105.2,95.6,0.51,0.366,0.76,14,28.6,27,10,5.3,14.4,21.4,1,1
Toronto Raptors,2019,58,24,32,9,26,15,11,7,33,9,114.4,113.1,107.1,100.2,0.474,0.366,0.804,9.6,35.6,25.4,8.3,5.3,14,21,1,1
Chicago Bulls,1993,57,25,31,10,26,15,6,7,31,5,105.2,112.9,106.1,92.5,0.482,0.365,0.733,15.7,27.8,26,9.5,5,13.5,22,1,1
Chicago Bulls,1998,62,20,37,4,25,16,6,3,34,5,96.7,107.7,99.8,89,0.451,0.323,0.743,15.2,29.7,23.8,8.5,4.3,14.4,20.6,1,1
Los Angeles Lakers,2001,56,26,31,10,25,16,10,5,24,13,100.6,108.4,104.8,91.7,0.465,0.344,0.683,13.2,31.5,23,6.9,6,14.4,22.8,1,1
