Team Name,Year,Wins,Losses,PPG,Off Rating,Def Rating,Pace,FG%,FG3%,FT%,Off RBG,Def RBG,Assists / Game,Steals / Game,Blocks / Game,Turnovers / Game,Fouls / Game
Atlanta Hawks, 2017, 43.0, 39.0, 103.2, 104.9, 105.7, 97.4, 0.451, 0.341, 0.728, 10.3, 34.1, 23.6, 8.2, 4.8, 15.8, 18.2
Atlanta Hawks, 2016, 48.0, 34.0, 102.8, 105.1, 101.4, 97.1, 0.458, 0.35, 0.783, 8.3, 33.8, 25.6, 9.1, 5.9, 15.0, 19.1
Boston Celtics, 2017, 53.0, 29.0, 108.0, 111.2, 108.4, 96.8, 0.454, 0.359, 0.807, 9.1, 32.9, 25.2, 7.5, 4.1, 13.3, 20.6
Boston Celtics, 2016, 48.0, 34.0, 105.7, 106.8, 103.6, 98.5, 0.439, 0.335, 0.788, 11.6, 33.3, 24.2, 9.2, 4.2, 13.7, 21.9
Brooklyn Nets, 2017, 20.0, 62.0, 105.8, 104.1, 110.7, 101.3, 0.444, 0.338, 0.788, 8.8, 35.1, 21.4, 7.2, 4.7, 16.5, 21.0
Brooklyn Nets, 2016, 21.0, 61.0, 98.6, 103.2, 110.9, 95.2, 0.453, 0.352, 0.757, 10.5, 31.9, 22.3, 7.6, 4.0, 14.8, 18.0
Chicago Bulls, 2017, 41.0, 41.0, 102.9, 107.4, 107.0, 95.3, 0.444, 0.34, 0.798, 12.2, 34.1, 22.6, 7.8, 4.8, 13.6, 17.7
Chicago Bulls, 2016, 42.0, 40.0, 101.6, 105.0, 106.5, 95.7, 0.441, 0.371, 0.787, 11.1, 35.2, 22.8, 6.0, 5.7, 13.9, 18.8
Charlotte Hornets, 2017, 36.0, 46.0, 104.9, 108.8, 108.6, 95.7, 0.442, 0.351, 0.815, 8.8, 34.8, 23.1, 7.0, 4.8, 11.5, 16.6
Charlotte Hornets, 2016, 48.0, 34.0, 103.4, 107.1, 104.3, 95.7, 0.439, 0.362, 0.79, 9.0, 35.0, 21.7, 7.3, 5.3, 12.6, 18.1
Cleveland Cavaliers, 2017, 51.0, 31.0, 110.3, 113.6, 110.3, 96.2, 0.47, 0.384, 0.748, 9.3, 34.4, 22.7, 6.6, 4.0, 13.7, 18.1
Cleveland Cavaliers, 2016, 57.0, 25.0, 104.3, 110.9, 104.5, 93.3, 0.46, 0.362, 0.748, 10.6, 33.9, 22.7, 6.7, 3.9, 13.6, 20.3
Dallas Mavericks, 2017, 33.0, 49.0, 97.9, 105.6, 108.8, 92.2, 0.44, 0.355, 0.801, 7.9, 30.7, 20.8, 7.5, 3.7, 11.9, 19.1
Dallas Mavericks, 2016, 42.0, 40.0, 102.3, 106.7, 107.0, 94.3, 0.444, 0.344, 0.794, 9.2, 33.9, 22.1, 6.8, 3.7, 12.8, 19.5
Denver Nuggets, 2017, 40.0, 42.0, 111.7, 113.2, 112.7, 98.3, 0.469, 0.368, 0.774, 11.8, 34.6, 25.3, 6.9, 3.9, 15.0, 19.1
